Wavelength Vacuum (um),Refractive Index,Wavelength Medium (um),Energy (eV),Frequency (THz)
0.9746,1.000274249,0.9743327902066186,1.2721547140693645,307.6056412887338
0.9892,1.0002742,0.9889288357132474,1.2533784718277425,303.0655661140316
1.004,1.000274154,1.003724824824375,1.2349023748326722,298.5980657370518
1.018,1.000274111,1.0177210314703427,1.2179194345108082,294.4916090373281
1.033,1.000274068,1.0327169653267467,1.2002342539516002,290.21535140367865
1.048,1.000274027,1.0477128983775965,1.1830553285610712,286.06150572519084
1.062,1.00027399,1.0617091023230547,1.1674594956045223,282.29045009416194
1.077,1.000273951,1.0767050355787982,1.151199614050142,278.35882822655526
1.091,1.000273917,1.0907012383888843,1.1364271167112767,274.78685426214486
1.106,1.000273882,1.1056971694478375,1.1210144523797492,271.06008860759493
1.121,1.000273848,1.1206931004358318,1.106014258993758,267.43305798394294
1.135,1.000273818,1.1346893016448023,1.092371792362998,264.1343242290749
1.15,1.000273787,1.1496852311296246,1.0781234646365243,260.6890939130435
1.164,1.000273759,1.1636814317349298,1.0651563439278375,257.5536580756014
1.179,1.00027373,1.1786773606460705,1.05160473649873,254.2768939779474
1.194,1.000273702,1.1936732892333901,1.0383936217185954,251.08246063651595
1.208,1.000273677,1.207669488637358,1.0263592585529824,248.17256456953643
1.223,1.000273651,1.2226654163861406,1.0137710419722017,245.12874734260015
1.237,1.000273627,1.236661615992001,1.0022974812708187,242.35445270816493
1.252,1.000273603,1.2516575427413335,0.990289124865817,239.45084504792334
1.267,1.00027358,1.2666534689439661,0.9785651020773504,236.61598895027626
1.281,1.000273559,1.2806496667578113,0.967870401508199,234.03002185792354
1.296,1.000273537,1.29564559299143,0.9566681977870392,231.3213410493827
1.31,1.000273518,1.3096417893970478,0.946444262848857,228.84920458015267
1.325,1.000273497,1.3246377155587077,0.9357297994958512,226.25845886792456
1.34,1.000273478,1.33963363967149,0.9252552121880617,223.72571492537313
1.354,1.00027346,1.3536298363849422,0.9156883192998543,221.4124505169867
1.369,1.000273442,1.36862576023487,0.9056552113455096,218.9864558071585
1.383,1.000273425,1.382621956591519,0.8964873350195247,216.76967317425886
1.398,1.000273408,1.39761788009064,0.886868372197427,214.44381831187414
1.413,1.000273391,1.4126138040994836,0.8774536336390678,212.16734465675867
1.427,1.000273376,1.4266099990648957,0.8688451186629311,210.08581499649614
1.442,1.00027336,1.4416059226049966,0.8598072013398078,207.90045631067963
1.456,1.000273346,1.455602116983731,0.851539824403848,205.90141346153848
1.471,1.000273331,1.4705980399671377,0.8428565495118985,203.80180693405845
1.486,1.000273317,1.4855939619151113,0.8343485762664891,201.74458815612383
1.5,1.000273304,1.4995901560120013,0.8265613228880018,199.86163866666666
1.515,1.00027329,1.5145860787705328,0.8183775474138633,197.88281056105612
1.529,1.000273278,1.5285822720938465,0.8108842278168756,196.0709339437541
1.544,1.000273265,1.5435781941047881,0.8030064665362712,194.16609974093265
1.559,1.000273253,1.5585741149473682,0.7952802978396426,192.29792046183454
1.573,1.000273242,1.5725703077439714,0.7882021515143057,190.58643229497778
1.588,1.00027323,1.5875662292791743,0.780756917085644,188.78618261964735
1.602,1.000273219,1.6015624227164278,0.7739338229288406,187.13636579275905
1.617,1.000273208,1.6165583433281359,0.7667544739220796,185.40040692640693
1.632,1.000273197,1.631554264269664,0.7597070982426488,183.69635906862746
1.646,1.000273188,1.6455504553622005,0.7532454339805607,182.1339356014581
1.661,1.000273177,1.6605463769223916,0.7464430971294418,180.48913786875377
1.675,1.000273168,1.6745425685556328,0.7402041697504493,178.9805719402985
1.69,1.000273158,1.6895384890454095,0.733634310255623,177.39198698224854
